country,iso_code,year,forest_area_sqkm,forest_loss_sqkm,deforestation_rate_percent,agricultural_land_sqkm,agricultural_expansion_sqkm,cattle_count,cattle_density
Thailand,THA,2001,3600818.57,711.34,0.0198,1952426.03,911.17,17956636.27,26.0652
India,IND,2013,4720099.4,2069.83,0.0439,1526277.18,4725.76,38730372.76,39.651
Indonesia,IDN,2007,1262397.88,1155.13,0.0915,381706.79,1276.18,32580084.05,33.2188
DR Congo,COD,2019,2589532.72,2461.99,0.0951,1448572.9,4192.71,27958738.36,54.8969
Colombia,COL,2005,3170221.8,734.73,0.0232,1123664.58,1012.71,15145013.59,37.9645
Argentina,ARG,2004,1060431,1611.28,0.1519,576492.97,3609.67,29803479.35,51.5367
Argentina,ARG,2022,7392586.52,3832.36,0.0518,2903755.96,4036.94,49305472.38,53.8401
Peru,PER,2004,4116585.11,764.34,0.0186,1446670.03,820.63,44827807.03,51.0262
Mexico,MEX,2012,4853546.19,1915.93,0.0395,2752664.37,1134.54,13862762.89,117.7677
Brazil,BRA,2005,7812177.52,3840.15,0.0492,4586171.74,4314.43,12440101.21,74.9041
Mexico,MEX,2013,203588.32,230.31,0.1131,81670.32,172.61,19566728.49,23.4742
Indonesia,IDN,2002,3892165.4,2248.58,0.0578,812526.64,3080.73,3108563.54,3.4534
Peru,PER,2011,1995683.32,1336.2,0.067,753091.21,1470.24,34326029.13,52.0174
Indonesia,IDN,2000,7726251.99,2198.22,0.0285,3923802.58,3446.99,39087593.43,39.9746
Colombia,COL,2000,789140.91,1253.08,0.1588,294925.37,3962.72,6601860.81,7.6305
Vietnam,VNM,2021,4878801.12,965.38,0.0198,1774338.87,1034.92,17496707.38,37.2356
Brazil,BRA,2009,7585369.66,2135.65,0.0282,3056698.9,4100.14,17419050.27,31.469
India,IND,2017,6412496.38,1059.3,0.0165,3505241.14,1000.15,44554463.99,99.6691
Argentina,ARG,2019,4074134.92,1864.52,0.0458,2265206.67,4722.15,9030028.11,14.2335
Indonesia,IDN,2014,1012169.21,1561.98,0.1543,361536.14,611.31,25264484.85,86.8358
Brazil,BRA,2007,7925753.14,2486.01,0.0314,2290665.99,997.96,42398883.62,145.4916
Thailand,THA,2003,4675341.3,1228.64,0.0263,1703617.99,204.36,46567516.36,121.8453
Brazil,BRA,2022,4514077.12,655.13,0.0145,1991886.98,850.26,25743360.31,29.8471
Peru,PER,2004,525116.75,484.41,0.0922,223488.36,1006.27,2095496.36,16.628
India,IND,2007,4576978.65,2665.07,0.0582,1584867.38,3344.19,19027842.96,61.2905
Colombia,COL,2017,3544679.77,2479.49,0.0699,1696916.91,4802.1,15916845.17,25.1935
DR Congo,COD,2003,3930422.52,1135.8,0.0289,1772553.33,2847.83,7329521.76,9.4653
Brazil,BRA,2014,4615691.03,2141.39,0.0464,1765634.84,4735.8,41130387.18,44.0365
Vietnam,VNM,2004,2242469.21,2819.09,0.1257,1166717.26,3277.99,31833567.69,74.6064
Argentina,ARG,2002,2905409.45,1713.03,0.059,1655378.02,3117.7,5117805.54,6.6177
Vietnam,VNM,2018,5813243.19,637.87,0.011,2087210.21,767.56,5409424.06,7.4502
Vietnam,VNM,2004,2347200.65,1075.7,0.0458,520040.06,947.29,10735609.27,35.7787
Peru,PER,2016,4897127.95,1977.22,0.0404,1777089.73,4512.96,35419509.18,44.3647
DR Congo,COD,2008,4916870.09,2240.13,0.0456,1511692.5,2308.82,21830078.91,29.946
Thailand,THA,2012,3174645.85,3512.96,0.1107,1199500.71,4767,31196742.98,43.9118
India,IND,2010,1863146.5,681.28,0.0366,420304.51,384.04,12462594.66,33.8907
Colombia,COL,2004,823229.47,251.22,0.0305,347613.29,254.29,15283821.86,17.6892
Colombia,COL,2019,6032840.86,1047.54,0.0174,3559651.04,1907.78,42706814.04,45.8202
Indonesia,IDN,2008,3714972.88,1161.54,0.0313,1389389,759.9,34707945.62,63.9867
India,IND,2012,2909631.19,3067.31,0.1054,899729.38,4118.34,30777410.74,60.4851
India,IND,2010,4039068.12,1467.56,0.0363,1735963.96,2867.33,40656098.87,44.4074
Indonesia,IDN,2016,4291731.85,1141.89,0.0266,1393294.46,1376.34,17495347.26,32.717
Vietnam,VNM,2010,2308000.87,2091.05,0.0906,796329.41,2308.24,47753812.47,69.751
Indonesia,IDN,2015,2946248.77,1281.52,0.0435,1326234.02,450.76,43906946.16,84.1487
Colombia,COL,2008,4601554.96,1179.3,0.0256,1490202.59,884.78,20406045.87,90.1171
DR Congo,COD,2022,4169757.44,1506.96,0.0361,1290315.74,2547.07,33777822.02,41.4703
Brazil,BRA,2008,1065718.71,801.27,0.0752,596110.45,2118.12,8496158.94,14.6437
Mexico,MEX,2003,790925.37,894.09,0.113,377839.59,1698.42,23609806.73,34.5535
Vietnam,VNM,2014,4829842.47,339.11,0.007,1370334.33,420.1,17677921.37,21.0404
Thailand,THA,2008,3674643.54,3130.88,0.0852,1490712.01,4575.31,42485625.4,46.275
Brazil,BRA,2018,7164383.66,2084.75,0.0291,2739772.5,1824.23,21305758.36,93.8888
India,IND,2002,3383960.43,416.64,0.0123,1746266.56,1013.01,3857500.33,4.6079
Argentina,ARG,2017,7868250.61,2202.62,0.028,3242064.98,4898.74,1392970.6,8.967
DR Congo,COD,2012,7590149.4,3441.74,0.0453,3533744.9,3295.01,35850421.09,107.7514
Mexico,MEX,2005,7819995.57,1051.78,0.0134,3981087.94,846.56,41064669.79,46.0156
Indonesia,IDN,2009,4889843.75,552.76,0.0113,1792190.67,1244.36,567125.14,3.3836
Mexico,MEX,2001,7649437.53,2667.87,0.0349,2119481.84,4803.53,18624658.67,18.9372
Indonesia,IDN,2007,7988932,3728.52,0.0467,1941028.48,4394.48,37393048.06,68.4022
India,IND,2011,7116506.78,1534.53,0.0216,1439506.14,2742.54,36382714.31,52.5081
Mexico,MEX,2007,7155971.5,992.22,0.0139,3421300.46,282.83,26870451.49,63.1241
Peru,PER,2014,6438580.41,1658.84,0.0258,3505214.23,1959.77,37070514.12,41.2837
Colombia,COL,2014,1986597.28,960.73,0.0484,1116707.87,1282.74,11928043.58,17.4859
Brazil,BRA,2018,5385778.47,2474.35,0.0459,1951036.51,3117.29,30209355.39,44.4202
Thailand,THA,2018,4953132.49,899.33,0.0182,2718904.96,835.91,32053588.27,59.7189
Thailand,THA,2002,1126548.71,565.74,0.0502,645265.04,1326.62,9991989.04,24.4107
Vietnam,VNM,2020,884036.66,1093.71,0.1237,463409.53,1644.18,25309063.54,33.7465
Indonesia,IDN,2007,1897979.53,1253.95,0.0661,386380.7,2091.29,6484869.22,7.3581
Indonesia,IDN,2004,6127570.92,1599.03,0.0261,1848798.97,1373.14,40925784.61,40.9549
Brazil,BRA,2000,5686815.98,997.83,0.0175,2681503.27,1348.04,17991324.62,83.0522
DR Congo,COD,2000,5730060,1550.95,0.0271,2818234.19,3114.76,25523162.81,26.7731
DR Congo,COD,2020,2596703.54,1656.26,0.0638,572185.04,2729.95,31293208.89,32.2235
Colombia,COL,2002,4347348.08,1493.78,0.0344,1664905.67,2253.27,26232921.48,66.1163
India,IND,2022,300892.42,296.45,0.0985,84814.9,193.43,8588766.05,17.8653
Thailand,THA,2003,5615798.84,1081.37,0.0193,1949523.53,1176.16,15434868.07,36.5204
Argentina,ARG,2000,5493847.75,952.14,0.0173,1135034.55,1258.57,17995495.23,26.941
Argentina,ARG,2007,2646030.17,2697.7,0.102,1342361.54,4153.03,33704448.62,70.2283
DR Congo,COD,2016,7127040.8,2964.15,0.0416,3749235.71,3637.15,34670506.61,137.8801
Brazil,BRA,2005,4894670.83,1570.47,0.0321,2171696.2,2116.31,14029233.03,19.2336
Thailand,THA,2011,4774144.93,1801.39,0.0377,1458707.3,2120.11,28155173,40.8663
Brazil,BRA,2016,2822139.35,2384.47,0.0845,623371.2,4422.09,46942189.09,66.3411
Indonesia,IDN,2000,4611652.97,665.59,0.0144,1048881.72,1003.65,10554988.39,16.7771
India,IND,2022,3867539.86,1343.66,0.0347,1804327.46,4457.32,209761.43,0.2529
Brazil,BRA,2009,6814364.67,1836.26,0.0269,2597752.11,4983.25,1355422.52,1.8922
DR Congo,COD,2012,2046313.88,645.01,0.0315,1037000.93,646.31,7551979.1,11.3
Brazil,BRA,2020,2293634.68,2190.48,0.0955,747427.2,1110.59,22177283.11,146.5761
Brazil,BRA,2012,2216489.51,1354.07,0.0611,1076572.11,2899.33,2745577.5,5.8281
Mexico,MEX,2005,7021918.4,2798.7,0.0399,3739207.99,3214.72,9785606.14,33.2451
Brazil,BRA,2015,3837510.91,1107.73,0.0289,796535.69,1269.71,1997370.57,7.6983
DR Congo,COD,2019,7462695.66,1084.49,0.0145,1743261.02,1892.26,8032867.44,74.2508
Mexico,MEX,2015,7883823.83,815.14,0.0103,1581604.79,1368.36,27929259.87,33.453
Peru,PER,2012,5602351.36,599.89,0.0107,1596633.08,179.75,35455367.53,54.0391
Colombia,COL,2016,6136753.75,813.2,0.0133,3571472.63,1538.29,28613192.14,36.2364
Indonesia,IDN,2015,5183843.99,1617.83,0.0312,1214444.02,1978.7,32565602.11,71.9636
Colombia,COL,2017,7418255.65,2200.01,0.0297,3238534.26,2231.79,21603197.75,56.2743
Mexico,MEX,2002,2877764.77,1751.05,0.0608,600273.84,3073.54,27957990.44,86.0267
Brazil,BRA,2011,5280494.18,1083.03,0.0205,2537900.27,1268.56,30366132.65,59.1174
Vietnam,VNM,2022,4470480.05,2183.16,0.0488,2447086.21,4471.02,36475861.29,89.1339
DR Congo,COD,2005,5701018.76,2256.48,0.0396,1796931.6,3973.38,40057475.5,162.0855
Argentina,ARG,2007,2190378.78,2550.63,0.1164,1096627.19,3625.74,7370403.36,14.4051
Thailand,THA,2008,6524663.76,3366.02,0.0516,2189780.77,4762.78,22434720.73,69.9411
DR Congo,COD,2013,7535134.91,450.66,0.006,1693964.92,783.35,1998192.8,14.5971
Thailand,THA,2010,3724168.55,1227.87,0.033,781039.2,787.41,29307791.32,73.8194
DR Congo,COD,2008,1375302.32,1043.06,0.0758,614814.02,2205.69,9060905.58,12.0766
DR Congo,COD,2021,1407484.22,1336.79,0.095,767143.48,3182.07,30404339.28,31.0006
DR Congo,COD,2001,2823196.62,868.43,0.0308,857127.19,901.26,16934047.8,17.7638
India,IND,2005,4338312.54,691.81,0.0159,2424119.98,836,10236563.47,10.7448
Mexico,MEX,2021,4756423.5,468.08,0.0098,967274.5,870.55,12853790.34,23.3537
Argentina,ARG,2019,3885458.67,3559.04,0.0916,838170.59,4718.49,31350498.98,148.7107
Thailand,THA,2015,1399949.63,1315.42,0.094,631671.27,3069.09,9706827.93,24.9963
Mexico,MEX,2007,6049568.32,2136.27,0.0353,1959666.51,3777.16,32095946.42,65.3113
Argentina,ARG,2019,4650172.83,1004.69,0.0216,1479188.02,1025.36,41266818.97,54.7464
Thailand,THA,2013,1706017.71,2053.21,0.1204,425139.76,3669.86,9652102.57,21.8077
Indonesia,IDN,2007,1552441.25,2263.19,0.1458,613666.6,3678.05,17949306.16,36.0277
Brazil,BRA,2015,6936284.49,1526.07,0.022,2250376.52,3377.83,16352449.45,39.9656
Brazil,BRA,2013,3963791.84,2564.65,0.0647,824882.11,4555.01,30494684.38,35.2627
Peru,PER,2004,2232275.12,1708.33,0.0765,666618.7,4562.05,11528874.85,15.7499
Thailand,THA,2011,5213637.17,3064.38,0.0588,2589109.33,4305.55,17817433.74,111.8555
Colombia,COL,2020,7112005.42,3650.25,0.0513,3254708.55,4882.84,35422508.96,55.4085
Indonesia,IDN,2010,5983933.76,3619.68,0.0605,3029705.34,4481.02,39925061.87,47.3122
India,IND,2010,5389900.77,2387.78,0.0443,1211803.28,2887.96,44038939.92,60.1772
Colombia,COL,2019,6636785.19,907.25,0.0137,1522127.47,1282.75,23849287.67,28.7037
Vietnam,VNM,2015,6082778.27,1444.96,0.0238,1310032,1803.61,38287891.96,44.1031
Brazil,BRA,2002,7515332.68,2720.84,0.0362,1933259.97,3575.28,42504567.16,124.2137
Vietnam,VNM,2020,5078344.64,214.16,0.0042,1545006.92,295.83,6699518.04,7.2908
Peru,PER,2018,7828751.51,2312.21,0.0295,4134578.06,3366.11,32588052.11,48.6817
Peru,PER,2008,6997951.43,2281.77,0.0326,3582259.7,4588.29,28178791.38,56.1521
Brazil,BRA,2000,1631429.5,1653.7,0.1014,515740.71,1875.14,7912561.58,35.4626
Thailand,THA,2009,4112974.96,1664.19,0.0405,1245775.55,4097.8,12289389.86,26.1774
DR Congo,COD,2006,3892533.71,2572.29,0.0661,1310031.85,4770.1,6304736.97,14.2778
Colombia,COL,2010,1529997.09,860.15,0.0562,346757.05,871.26,7798847.84,15.2745
DR Congo,COD,2008,5986093.23,3907.98,0.0653,2660199.5,3302.02,23664124.49,130.985
India,IND,2007,1889788.15,2316.99,0.1226,893655.45,2458.13,36933141.35,94.9683
Colombia,COL,2017,3169573.16,1570.77,0.0496,1777143.42,2214.9,9473424.74,17.4704
Vietnam,VNM,2000,5873843.02,1440.25,0.0245,2705291.85,1263.57,28999387.48,55.4711
Thailand,THA,2004,4259687.25,1346.62,0.0316,2025805.58,1315.62,36354772.41,54.8694
India,IND,2014,6873362.34,711.9,0.0104,2873624.46,588.01,2352476.2,68.0338
Argentina,ARG,2000,4962877.49,1255.03,0.0253,2799797.53,2131.12,32915146.46,50.1615
Peru,PER,2006,656605.52,1257.99,0.1916,330233.63,1835.48,18716763.12,19.9126
Argentina,ARG,2013,6790954.23,826.56,0.0122,2570405.12,491.6,25322159.71,60.9876
India,IND,2017,7678322.43,1882,0.0245,1673557.76,3232.66,276100.01,2.3861
Indonesia,IDN,2021,2964925.59,632.79,0.0213,1348575.45,986.49,5163659.07,11.4443
Vietnam,VNM,2020,4853821.44,1557.38,0.0321,2465236.1,3301.91,33217159.64,64.8059
India,IND,2007,6231787.69,636.56,0.0102,1399269.57,815.1,3048857.07,6.2094
India,IND,2009,7296048.08,1302.6,0.0179,2977030.72,1729.13,20048429.86,25.9275
Brazil,BRA,2015,1962603.17,2088.64,0.1064,1103205.23,1766.46,30190509.48,129.823
India,IND,2000,3782327.65,3214.89,0.085,1203974.25,4747.89,37340820.17,44.1944
Thailand,THA,2018,6635893.13,1746.1,0.0263,1425386.43,1528.24,39314978.28,71.0589
Vietnam,VNM,2001,3424347.07,217.39,0.0063,1208208.85,151.48,14099685.48,19.3666
Indonesia,IDN,2022,5237451.92,1526.84,0.0292,1547588.9,3062.12,7800528.43,12.3788
Argentina,ARG,2015,4069928.06,2159.49,0.0531,1884505.47,2985.09,23305695.95,48.0964
Colombia,COL,2006,6800925.49,2502.76,0.0368,3091454.4,4405.37,43287729.17,105.3382
Brazil,BRA,2018,4202666.63,3104.07,0.0739,994140.1,2652.85,18447439.11,72.6934
Vietnam,VNM,2009,3871901.99,2291.17,0.0592,1426333.13,2667.04,24828778.21,31.7797
Colombia,COL,2005,695729.26,1328.44,0.1909,214598.72,2759.5,4323173.22,12.3139
India,IND,2000,3479861.03,2771.15,0.0796,771984.13,3299.04,22051198.11,83.766
India,IND,2014,6592123.81,2037.62,0.0309,2900012.47,3923.18,14221921.18,56.6993
Peru,PER,2016,1649146.58,2939.39,0.1782,797324.42,2926.98,35136043.07,54.774
Vietnam,VNM,2016,6928241.9,1554.62,0.0224,3133252.41,4030.82,5251692.92,12.5829
Peru,PER,2005,4315827.5,1858.09,0.0431,1578316.93,2971.2,8987469.82,11.6133
DR Congo,COD,2021,1178683.5,582.7,0.0494,581060.65,1710.67,489887.13,0.9964
Mexico,MEX,2017,4943834.81,2369.51,0.0479,1352520.17,4231.61,42433502.67,155.8689
Peru,PER,2017,6114694.86,2568.79,0.042,2942896.82,2861.94,21468345.92,53.0824
DR Congo,COD,2008,6022553.98,665.31,0.011,2865072.42,1143.63,40974635.23,48.9726
Argentina,ARG,2020,2641406.32,2955.76,0.1119,688917.77,4314.6,23057053.33,50.7272
Argentina,ARG,2009,2301688.55,2488.5,0.1081,641514.01,2872.39,27750507.4,43.5557
DR Congo,COD,2012,4765265.36,912.82,0.0192,1584737,700.2,23417978.45,48.6289
Argentina,ARG,2014,5845580.38,3840.18,0.0657,1903058.78,4349.34,10185547.01,157.1732
Peru,PER,2013,1720418.8,1567.81,0.0911,632508.09,2908.75,12163357.47,22.1436
DR Congo,COD,2005,4767579.57,579.42,0.0122,1778757.2,272.98,21883129.26,63.1219
DR Congo,COD,2014,5785917.43,4001.84,0.0692,2857907.83,4721.41,43357770.75,54.1003
Indonesia,IDN,2000,4612607.16,1066.62,0.0231,1459826.45,2674.2,4612132.46,8.008
Argentina,ARG,2006,4502334.6,2258.51,0.0502,2396912.6,3134.75,12487210.11,18.3668
Thailand,THA,2022,1561921.59,1434.07,0.0918,356084.71,304.26,27343565.27,109.2825
Indonesia,IDN,2004,1593112.18,857.4,0.0538,949443.98,495.15,41216246.09,41.8313
Peru,PER,2019,1936114.28,2014.05,0.104,822400.63,2323.58,43595229.84,121.263
Brazil,BRA,2016,4713070.69,3019,0.0641,2250245.4,4288.79,7800048.87,139.3151
Vietnam,VNM,2010,2786242.09,1223.45,0.0439,957896.11,1783.92,44652653.84,60.4286
Vietnam,VNM,2006,3750913.59,293.33,0.0078,949133.15,373.33,5586909.31,10.9847
Indonesia,IDN,2005,7450508.04,2954.11,0.0396,3510950.69,3485.34,12831045.06,15.0579
DR Congo,COD,2016,5800624.79,3732.4,0.0643,1927026.6,4145.58,12811132.76,57.1774
India,IND,2015,4192121.64,1597.83,0.0381,2317814.49,1624.07,37918662.5,57.766
Peru,PER,2018,3922063.49,1304.14,0.0333,879433.68,1239.28,36817152.14,59.4319
Indonesia,IDN,2003,7927611.51,2521.3,0.0318,2078191.12,2644.47,45177571.52,96.353
Colombia,COL,2018,6177945.83,632.94,0.0102,2153205.63,375.79,38648637.49,59.5151
Colombia,COL,2013,1952355.61,1862.06,0.0954,568950.62,3559.38,15047901.4,35.7772
Argentina,ARG,2000,3790171.4,2264.78,0.0598,1758695.38,2931.2,2660272.47,7.8755
Thailand,THA,2016,3041572.02,2598.76,0.0854,1403867.24,2995.47,47811392.65,49.1296
Argentina,ARG,2002,6090647.36,2867.39,0.0471,1575505.2,4172.92,16472204.73,72.7944
DR Congo,COD,2018,4811119.12,1413.96,0.0294,1158412.03,2397.59,17112967.92,56.4021
Colombia,COL,2010,2369086.3,1002.16,0.0423,1311926.9,678.14,21275564.92,34.7517
Argentina,ARG,2018,1645016.3,1918.23,0.1166,831328.57,4072.36,49882093.35,54.1919
DR Congo,COD,2015,4229958.76,3395.06,0.0803,1809262.29,2925.51,49119878.69,157.7442
Brazil,BRA,2000,4457545.73,1029.81,0.0231,2200918.1,1352.32,33632630.62,37.5441
DR Congo,COD,2006,7095979,1692.08,0.0238,3305614.67,2155.72,9446003.61,15.7187
Colombia,COL,2008,5334308.34,3674.38,0.0689,2754408.86,4758.04,41242105.68,133.0905
Brazil,BRA,2014,1612093.29,2593.1,0.1609,759471.46,2017.34,34271265.94,104.6936
DR Congo,COD,2011,7105046.9,1186.53,0.0167,2518480.2,1497.6,30506155.56,65.9147
Colombia,COL,2018,4957398.81,3508.91,0.0708,2340588.97,4103.67,29287247.78,35.2529
Vietnam,VNM,2009,7784555.36,1632.05,0.021,2278354.72,1843.84,25405061.94,34.4944
DR Congo,COD,2006,867925.42,264.89,0.0305,260159.74,175.43,5795655.65,11.7521
India,IND,2007,2201686.32,1519.9,0.069,547192.52,3871.2,12679246.89,18.5938
Vietnam,VNM,2007,1372615.27,2286.33,0.1666,354505.44,3687.35,38790449.89,93.4805
India,IND,2013,7120122.3,1444.27,0.0203,3585727.74,1861.1,8181299.76,18.9619
DR Congo,COD,2010,5165816.78,492.31,0.0095,2676077.51,503.92,21529483.71,23.57
Colombia,COL,2002,3280671.44,1881.74,0.0574,958496.26,3052.06,9540370.31,47.2869
India,IND,2006,5293917.65,1095.35,0.0207,1742265.1,1196.56,45893614.54,53.6615
Argentina,ARG,2015,1076308.29,955.4,0.0888,470305.1,867.19,18835356.52,69.5818
India,IND,2017,1335267.15,617.08,0.0462,480995.46,769.81,25782835.01,46.0027
Colombia,COL,2011,7232357.81,2563.39,0.0354,3203486.1,2930.61,48497159.82,150.8187
Vietnam,VNM,2000,4427336.87,3312.95,0.0748,2360229.07,4559.86,33475533.61,35.4518
India,IND,2016,6313153.6,2655.21,0.0421,3429014.87,4139.81,20274748.98,23.045
Brazil,BRA,2015,5353863.91,1677.22,0.0313,2364271.27,928.23,41170571.11,82.7081
Brazil,BRA,2018,3695430.25,2132.14,0.0577,2171475.96,2291.85,31536687.85,45.713
Brazil,BRA,2022,7811670.79,816.35,0.0105,2823393.71,1178.66,44040119.28,48.3731
Indonesia,IDN,2005,5675397.26,1552.89,0.0274,1685955.38,3984.65,8138609.12,16.9281
Thailand,THA,2019,3556457.12,1934.93,0.0544,805538.81,4510.83,14183566.16,17.6821
Thailand,THA,2016,7305635.7,2511.25,0.0344,1611048.69,3202.73,20890640.48,21.5403
Brazil,BRA,2007,2362322.19,3311.05,0.1402,1233408.69,4036.01,8022613.87,13.9055
Indonesia,IDN,2020,1337742.46,1788.96,0.1337,555818.6,3298.09,26734969.98,27.3649
DR Congo,COD,2001,5400825.36,2706.87,0.0501,2780369.7,3996.87,34048819.88,54.3391
DR Congo,COD,2003,7518001.98,2053.32,0.0273,1651374.56,3034.49,11817395.46,32.1493
Thailand,THA,2015,5372100.46,846.22,0.0158,1319163.77,2341.63,9979439.3,11.9228
Peru,PER,2008,2972681.25,1796.42,0.0604,1747011.15,3654.67,17912562.39,27.7276
